dane_muni,departamento,municipio,mine_count,total_victims,mine_incidents,demining_count,matched,match_method,matched_NAME_1,matched_NAME_2
27000,CHOCO,SIN INFORMACION,9,9,9,0,False,unmatched,,
05000,ANTIOQUIA,SIN INFORMACION,4,3,4,0,False,unmatched,,
13490,BOLIVAR,NOROSI,3,7,3,0,False,unmatched,,
52000,NARIÑO,SIN INFORMACION,2,9,2,0,False,unmatched,,
,EXTERIOR,FRONTERA VENEZUELA,1,13,1,0,False,unmatched,,
05674,ANTIOQUIA,SAN VICENTE FERRER,1,1,1,0,False,unmatched,,
19548,CAUCA,PIENDAMO  TUNIA,1,1,1,0,False,unmatched,,
19760,CAUCA,SOTARA PAISPAMBA,1,1,1,0,False,unmatched,,
54000,NORTE DE SANTANDER,SIN INFORMACION,1,1,1,0,False,unmatched,,
85000,CASANARE,SIN INFORMACION,1,1,1,0,False,unmatched,,
23000,CORDOBA,SIN INFORMACION,1,0,1,0,False,unmatched,,
41000,HUILA,SIN INFORMACION,1,0,1,0,False,unmatched,,
